Given Name,Family Name,User ID,Email,Secondary Email,UTC Offset,Time Zone,Registration Section,Registration Subsection,Rotation Section,Group
Ottilie,Fadel,fadelo,fadelo@example.com,,NOT SET,NOT SET,"9","",4,Student
Nikki,Hermiston,hermin,hermin@example.com,,NOT SET,NOT SET,"9","",4,Student
Favian,Hilpert,hilpef,hilpef@example.com,,NOT SET,NOT SET,"9","",4,Student
Joanie,Hoeger,hoegej,hoegej@example.com,,NOT SET,NOT SET,"9","",4,Student
Bailey,Schaefer,schaeb,schaeb@example.com,,NOT SET,NOT SET,"9","",4,Student
Jarrett,Welch,welchj,welchj@example.com,,NOT SET,NOT SET,"9","",4,Student
Brown,Zieme,ziemeb,ziemeb@example.com,,NOT SET,NOT SET,"9","",4,Student
Desmond,Champlin,champd,champd@example.com,,NOT SET,NOT SET,"10","",5,Student
Keely,Connelly,connek,connek@example.com,,NOT SET,NOT SET,"10","",5,Student
Easter,Emmerich,emmere,emmere@example.com,,NOT SET,NOT SET,"10","",5,Student
Nels,Klocko,klockn,klockn@example.com,,NOT SET,NOT SET,"10","",5,Student
Verner,Leffler,lefflv,lefflv@example.com,,NOT SET,NOT SET,"10","",5,Student
Jerrold,Rodriguez,rodrij,rodrij@example.com,,NOT SET,NOT SET,"10","",5,Student
Shanel,Schaden,schads,schads@example.com,,NOT SET,NOT SET,"10","",5,Student
Willow,Swift,swiftw,swiftw@example.com,,NOT SET,NOT SET,"10","",NULL,Student
Percy,Watsica,watsip,watsip@example.com,,NOT SET,NOT SET,"10","",5,Student
Quinn,Instructor,instructor,instructor@example.com,,NOT SET,NOT SET,"NULL","",NULL,Instructor
Emmett,Mann,manne,manne@example.com,,NOT SET,NOT SET,"NULL","",NULL,Instructor
Submitty Admin,Submitty Admin,submitty-admin,submitty-admin@example.com,,NOT SET,NOT SET,"NULL","",NULL,Instructor
Jill,TA,ta,ta@example.com,,NOT SET,NOT SET,"NULL","",NULL,Full Access Grader (Grad TA)
Jack,TA,ta2,ta2@example.com,,NOT SET,NOT SET,"NULL","",NULL,Full Access Grader (Grad TA)
Jamie,TA,ta3,ta3@example.com,,NOT SET,NOT SET,"NULL","",NULL,Full Access Grader (Grad TA)
Tim,Grader,grader,grader@example.com,,NOT SET,NOT SET,"NULL","",NULL,Limited Access Grader (Mentor)
Noby,Grader,grader2,grader2@example.com,,NOT SET,NOT SET,"NULL","",NULL,Limited Access Grader (Mentor)
