Name,SID,Email,Zone,Total Score,Status,Submission ID,Submission Time,Lateness,View Count,Part One, Part Two, Part Three
Rey Lemke,lemker,email@rpi.edu,B,27,Graded,1338500,1970-01-01 00:00:00-0000,0,0,9.0,9.0,9.0
John Smith,smithj,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0 	 					
Joe Student,student,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0 					
Jose Terry,terryj,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Margaret Cartwright,cartwm,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0 					
Albina Erdman,erdmaa,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Emilio Gleichner,gleice,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Kristin Mitchell,mitchk,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Giuseppe Murray,murrag,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Liliane Cremin,cremil,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0 					
Domenico Kohler,kohled,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Price Luettgen,luettp,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0
Devan McKenzie,mckend,email@rpi.edu,A,30,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,10.0,10.0 					
Ewell Rowe,rowee,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Dayton Streich,streid,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0
Alana Grimes,grimea,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0				
Fiona Kohler,kohlef,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0		
Cedrick Pagac,pagacc,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Edmond Schamberger,schame,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Wilburn Spinka,spinkw,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Hester Waters,waterh,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0
Leonie Bailey,bailel,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Colby Feil,feilc,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Amelie Herzog,herzoa,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Aryanna Krajcik,krajca,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Clovis Lebsack,lebsac,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Clemmie Schumm,schumc,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0
Eryn Gaylord,gayloe,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Jameson Hand,handj,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Alta Koch,kocha,email@rpi.edu,C,20,Graded,1338500,1970-01-01 00:00:00-0000,0,0,10.0,5.0,5.0 					
Kitty Kuhlman,kuhlmk,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Lola Spencer,spencl,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Ciara Steuber,steubc,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0
Lukas Bogisich,bogisl,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Treva Herzog,herzot,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Brad McGlynn,mcglyb,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Jerrod Mertz,mertzj,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Mara Walter,waltem,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Claudia Wolf,wolfc,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0
Thelma Blanda,blandt,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Bernadine Hauck,hauckb,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Adelle Hettinger,hettia,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Domenic Legros,legrod,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Julio Mayert,mayerj,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Clemmie Shields,shielc,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0
Dale Balistreri,balisd,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Lura Brown,brownl,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Nancy Developer,developer,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Alfreda Doyle,doylea,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Fleta Friesen,friesf,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Tim Grader,grader,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Sigmund Hansen,hanses,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Lucinda Harber,harbel,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Harry Homenick,homenh,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Quinn Instructor,instructor,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Dolores Koch,kochd,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Eliezer Kozey,kozeye,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Dawson Kshlerin,kshled,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Silas Langworth,langws,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Eugene Mayert,mayere,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Marcelo Mayert,mayerm,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Liam Rowe,rowel,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Ivah Skiles,skilei,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Jill TA,ta,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Nasir Torp,torpn,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Chaz Turcotte,turcoc,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Grady Wiegand,wiegag,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Gabriel Wilkinson,wilkig,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0 					
Retta Wunsch,wunscr,email@rpi.edu,D,15,Graded,1338500,1970-01-01 00:00:00-0000,0,0,5.0,5.0,5.0
